Rank,Name,Symbol,Price,Market Cap,FDV,24h Change (%),7 Days Change (%),1h Change (%),Volume ($)
64,The Graph,GRT,$0.1572,"$1,700,533,885",,0.2,-2.241,-0.885,1505153401.0
,Maal Chain,MAAL,$0.1492,,,0.8,1.049,-0.149,1495061679.0
,Gem DEX,GEM,$0.001487,,,5.3,0.036,-0.068,1488646289.0
,HTX DAO,HTX,"$26,310,982",,,2.0,8.324,-0.675,1488209959.0
65,Bonk,BONK,$0.00002123,"$1,992,242,025",,3.6,-4.149,-1.936,1479905813.0
,CAPITAL ROCK,CR,$0.7254,,,0.0,-0.064,-0.039,1450725373.0
67,FLOKI,FLOKI,$0.0001455,"$1,457,328,031",,0.7,0.483,-1.202,1411583762.0
,smARTOFGIVING,AOG,$0.6944,,,0.0,2.522,,1370186323.0
,Wrapped SOL,SOL,$174.15,"$102,398,917,095",,3.1,3.841,-1.313,1353159225.0
68,Jupiter,JUP,$0.9974,"$10,012,229,725",,4.3,-2.475,-2.141,1351651013.0
70,Pyth Network,PYTH,$0.3701,"$3,714,330,677",,0.5,10.332,-1.248,1346440705.0
,ZIK coin,ZIK,$0.0001313,,,0.6,6.944,-1.116,1313020221.0
,HEX,HEX,$0.00207,,,1.4,4.121,-0.025,1245318521.0
,Chainbing,CBG,$0.1213,,,2.0,-2.516,-0.422,1212642314.0
,Governance Algo,GALGO,$0.1208,,,0.1,0.722,,1207734614.0
,Argent,ARG,$0.2326,,,,,,1163142314.0
4,BNB,BNB,$594.59,"$86,913,309,997",86913309997.0,1.9,2.009,-0.813,1113879567.0
,Humanize,$HMT,$0.004378,,,6.1,0.45,-2.419,1096995869.0
17,WETH,WETH,"$2,692.56","$8,191,010,487",8191010487.0,2.3,5.127,-0.697,1089205286.0
,INOFi,FON,$0.1065,,,9.9,-47.3,-0.276,1080494111.0
80,Ondo,ONDO,$0.7285,"$7,284,623,531",,1.0,-1.529,-1.357,1047033321.0
81,Ethena,ENA,$0.3745,"$5,645,164,905",,0.4,1.217,-2.875,1033770823.0
83,Algorand,ALGO,$0.1205,"$1,003,993,971",,0.7,-0.07,-1.093,1003993943.0
85,Brett,BRETT,$0.09732,"$970,016,838",,4.2,-1.424,-1.627,970016831.0
,Betfin token,BET,$0.001241,,,0.9,3.829,0.033,965510264.0
,ROND,ROND,$0.0009569,,,2.3,-2.299,-1.767,956610779.0
217,Mask Network,MASK,$3.16,"$317,104,952",317104952.0,37.9,41.658,-1.734,955558111.0
87,Beam,BEAM,$0.01782,"$1,091,561,020",,3.5,-4.537,-2.081,930218565.0
,HugeWin,HUGE,$0.00118,,,0.4,1.725,-0.81,916590000.0
89,JasmyCoin,JASMY,$0.01877,"$940,690,846",,0.0,0.12,-1.248,910965015.0
143,L2 Standard Bridged WETH (Base),WETH,"$2,684.30","$588,021,354",588021354.0,2.1,4.898,-1.039,902445007.0
,MTH Network,MTHN,$0.8834,,,0.2,-0.061,0.349,883361083.0
92,Polygon,MATIC,$0.333,"$3,331,056,073",,0.3,-6.293,-0.494,869034818.0
93,BitTorrent,BTT,"$35,480,368","$877,394,129",,0.3,0.275,-0.511,858114880.0
94,SPX6900,SPX,$0.9192,"$856,906,247",,0.2,24.78,0.703,856906247.0
96,cat in a dogs world,MEW,$0.009501,"$848,508,641",,6.3,-0.293,-2.199,848508641.0
,Companion Pet Coin,CPC,$0.1401,,,1.7,-2.248,-0.121,840362132.0
98,Flow,FLOW,$0.5424,"$836,343,805",,2.5,-0.084,-0.524,836343805.0
100,Core,CORE,$0.8988,"$1,896,597,145",,1.2,-1.106,-0.428,829279661.0
101,GALA,GALA,$0.02062,"$827,371,617",,0.2,-9.765,-1.225,827371614.0
,Dark Energy Crystals,DEC,$0.000806,,,1.1,-1.073,-0.079,805890094.0
,Global Commercial Business,GCB,$0.3219,,,0.0,5.932,-0.396,804425249.0
,Chinese PEPE,PEIPEI,$724.79,,,2.3,1.601,-0.358,798724028.0
,OneCoinBuy,OCB,$0.07963,,,2.4,0.032,-1.283,796279103.0
,CARV,CARV,$0.7816,,,1.6,0.648,-0.666,779559324.0
105,Mog Coin,MOG,"$45,036,707","$767,666,412",,1.0,4.948,-0.917,767666412.0
106,Starknet,STRK,$0.3936,"$3,952,747,071",,1.1,-2.403,-2.151,766685269.0
109,USDD,USDD,$0.9966,"$751,601,383",,0.3,-0.33,-0.292,751593939.0
113,Klaytn,KLAY,$0.1264,"$744,240,179",,0.9,5.263,-0.248,743660704.0
111,Kaia,KLAY,$0.126,"$738,440,378",,1.4,,-0.837,738440354.0
,Polygon Bridged USDT (Polygon),USDT,$0.999,,,0.1,-0.026,-0.186,729636137.0
116,Notcoin,NOT,$0.006885,"$705,591,548",,3.1,-10.221,-1.229,705591548.0
114,Neiro,NEIRO,$0.001689,"$704,106,171",,2.9,3.151,-1.73,704106171.0
118,EOS,EOS,$0.4596,"$965,588,113",,0.7,-2.733,-0.754,697469946.0
117,Flare,FLR,$0.01377,"$1,414,939,652",,1.4,-4.645,-0.758,697454841.0
119,eCash,XEC,$0.00003502,"$736,559,329",,2.2,3.701,-1.325,693678587.0
120,Conflux,CFX,$0.1514,"$844,742,310",,2.0,-0.803,-1.915,689365319.0
,LoveBit,LB,"$1,299,156",,,28.7,37.214,2.666,687212434.0
125,Tezos,XTZ,$0.6646,"$685,302,993",,0.6,-0.065,-0.855,671653695.0
,Celo (Wormhole),CELO,$0.6562,,,1.2,-8.916,-1.87,656199137.0
129,Wormhole,W,$0.2393,"$2,396,372,690",,1.1,-11.645,-1.215,648504531.0
132,Mina Protocol,MINA,$0.5479,"$655,811,939",,1.0,-1.553,-1.137,645323343.0
133,Frax,FRAX,$0.9935,"$645,158,263",,0.4,-0.244,-0.405,645158263.0
130,Bridged USDC (Polygon PoS Bridge),USDC.E,$0.997,"$644,682,005",,0.3,-0.24,-0.192,644682005.0
131,Axelar,AXL,$0.7759,"$911,201,672",,1.8,-5.867,-2.411,642362297.0
,Phoenic Token,PNIC,$0.1145,,,6.8,-19.519,0.019,635939912.0
,Ape and Pepe,APEPE,"$9,214,297",,,2.2,28.484,-1.055,631056630.0
154,Arbitrum Bridged WETH (Arbitrum One),WETH,"$2,686.09","$530,623,804",530623804.0,2.0,5.068,-0.927,624735110.0
,Meditoc,MDTI,$0.1249,,,6.8,-22.85,38.795,624291456.0
136,Turbo,TURBO,$0.008965,"$620,447,135",,5.2,-8.104,-1.583,620447135.0
,Finanx AI,FNXAI,$0.6139,,,1.6,,0.108,614053787.0
,Volare Network,VOLR,$0.6126,,,0.4,0.356,0.092,612424651.0
138,The Sandbox,SAND,$0.2546,"$765,661,333",,0.3,-4.417,-1.02,609780885.0
42,dogwifhat,WIF,$2.54,"$2,536,980,490",2536980490.0,2.9,4.773,-2.423,609515724.0
140,BOOK OF MEME,BOME,$0.00867,"$599,223,714",,3.1,-5.892,-1.552,599223714.0
141,Goatseus Maximus,GOAT,$0.5905,"$597,759,768",,14.4,-18.822,-2.485,597759768.0
144,Nervos Network,CKB,$0.01305,"$595,805,102",,2.7,-8.307,-0.655,586458579.0
145,PayPal USD,PYUSD,$0.9971,"$587,612,782",,0.3,-0.243,-0.338,576239363.0
148,Chiliz,CHZ,$0.0622,"$568,759,051",,0.7,-9.368,-0.908,568759051.0
147,Decentraland,MANA,$0.304,"$667,456,067",,0.0,-2.515,-0.532,568506466.0
,SuperCells,SCT,$0.1133,,,0.9,-9.366,0.139,566274639.0
,ALITA GOLD,ALITA,$0.5613,,,0.1,0.568,2.104,561266221.0
,FlightClupcoin,FLIGHT,"$129,292",,,1.9,-2.046,-1.893,550493648.0
,1000SATS (Ordinals),1000SATS,$0.0002577,,,1.7,-2.363,-1.097,541146917.0
153,SATS (Ordinals),SATS,"$37,343,199","$539,171,266",,0.8,-2.441,-0.965,539171266.0
156,Terra Luna Classic,LUNC,$0.00009225,"$626,070,021",,0.3,2.445,-0.775,527974565.0
157,ZKsync,ZK,$0.1415,"$2,980,955,488",,5.7,3.842,-2.064,521667210.0
158,AIOZ Network,AIOZ,$0.4584,"$519,338,847",,0.3,3.339,-1.051,519218805.0
159,Beldex,BDX,$0.07743,"$769,125,482",,0.2,1.4,-0.559,517546813.0
18,Chainlink,LINK,$12.19,"$7,653,081,416",12208792799.0,6.2,7.455,-0.415,499760914.0
162,Gigachad,GIGA,$0.05158,"$495,437,700",,5.8,-14.052,1.466,495437700.0
163,TrueUSD,TUSD,$0.992,"$491,648,332",,0.4,-0.268,-0.284,491648332.0
,HyperCycle,HYPC,$0.2247,,,4.8,-12.401,-1.094,482344279.0
168,Blur,BLUR,$0.2365,"$712,259,312",,2.3,-4.516,-1.943,468402211.0
169,DOG•GO•TO•THE•MOON (Runes),DOG,$0.004615,"$461,864,613",,2.0,-4.508,-2.114,461864613.0
,Rabi,RABI,$0.461,,,0.6,8.008,-0.447,460873075.0
,Orbler,ORBR,$0.2298,,,8.3,-8.254,-0.002,459316649.0
170,Oasis,ROSE,$0.06798,"$679,805,881",,3.3,-2.616,-1.435,457495483.0
,Luxury Travel Token,LTT,$0.004573,,,0.1,-0.43,0.038,456970582.0
,Bitrium,BTRM,$0.4456,,,4.3,2.37,-1.571,448579206.0
,Ethena Staked ENA,SENA,$0.3734,,,0.1,1.071,-3.172,447412956.0
172,APENFT,NFT,"$23,804,136","$446,739,525",,1.2,5.723,-0.308,442323766.0
,MusicN,MINT,$0.4385,,,1.5,-5.577,1.172,437017394.0
19,Bitcoin Cash,BCH,$370.39,"$7,329,232,216",7780744701.0,3.2,5.529,-0.223,431052364.0
,Wrapped Pulse,WPLS,$0.00004976,,,3.5,11.646,-0.894,429699672.0
,HitBTC,HIT,$0.214,,,3.6,-7.263,-0.232,428012851.0
,HOT BOXY,BOXY,$0.04277,,,1.3,1.309,-0.22,427394996.0
174,XDC Network,XDC,$0.02789,"$1,060,242,925",,0.4,1.239,-0.373,417137933.0
,ReflectionAI,RECT,$0.4148,,,8.0,,0.226,415284795.0
176,IOTA,IOTA,$0.118,"$543,900,275",,2.5,0.959,-1.247,413533691.0
175,Astar,ASTR,$0.05588,"$462,189,827",,0.2,-3.924,-0.763,413131981.0
,Laqira Protocol,LQR,$0.04083,,,20.8,31.42,2.848,408551971.0
26,Aptos,APT,$9.71,"$5,032,421,551",10912415934.0,2.3,-1.828,-1.941,407106881.0
,AIBlock,AIBCOIN,$0.3239,,,0.7,0.271,0.07,404844707.0
178,USDB,USDB,$0.9906,"$404,678,900",,0.5,-0.838,-0.904,404678900.0
24,Litecoin,LTC,$71.94,"$5,409,017,488",6046817577.0,0.9,3.999,-0.582,403020084.0
180,Baby Doge Coin,BABYDOGE,"$25,119,829","$1,066,453,333",,4.3,-11.286,-1.797,400620312.0
,Greenart Coin,GAC,$0.07969,,,0.2,-0.025,-0.338,400158768.0
,CODA,CODA,$0.4007,,,5.7,30.452,0.132,400102949.0
181,Memecoin,MEME,$0.01372,"$948,078,188",,5.1,9.57,0.081,399771998.0
,GEKKO,GEKKO,"$566,902",,,2.5,3.108,-1.218,399592286.0
15,Avalanche,AVAX,$26.08,"$10,617,257,525",11660589546.0,1.5,-2.268,-0.87,398432755.0
186,GMT,GMT,$0.1354,"$715,911,062",,0.8,2.876,-0.799,395430805.0
184,IoTeX,IOTX,$0.04171,"$395,025,016",,2.9,5.396,-1.511,395025016.0
,World Mobile Token,WMTX,$0.1961,,,2.5,0.859,-0.097,392170000.0
191,ConstitutionDAO,PEOPLE,$0.0764,"$388,894,381",,2.0,-5.396,-0.804,388894381.0
,Tari World,TARI,$0.1293,,,1.5,-7.55,-1.385,388158788.0
192,Kava,KAVA,$0.3517,"$381,471,208",,3.9,1.123,-0.715,381471208.0
53,THORChain,RUNE,$5.81,"$1,966,474,069",2412732127.0,5.8,12.065,-1.459,377025129.0
194,WOO,WOO,$0.202,"$451,366,709",,8.7,3.703,-1.7,372377871.0
195,Theta Fuel,TFUEL,$0.05513,"$371,457,822",,1.0,-6.396,-0.643,371453554.0
11,Toncoin,TON,$4.97,"$12,665,138,704",25461977232.0,1.1,-3.294,-0.965,368085817.0
73,Worldcoin,WLD,$2.02,"$1,186,164,255",20189538821.0,3.1,-9.641,-2.292,367667001.0
197,Usual USD,USD0,$0.9965,"$367,489,918",,0.4,-0.118,-0.311,367489918.0
,Winnerz,WNZ,$0.03662,,,0.4,-1.222,0.413,366194003.0
,Vibing,VBG,$0.3633,,,2.2,-1.759,-0.064,364625882.0
198,Celo,CELO,$0.6567,"$659,521,872",,0.7,-9.518,-1.017,363379892.0
,Protocon,PEN,$0.07261,,,0.8,0.794,-0.877,363066333.0
,PCM,PCM,$0.7248,,,1.6,1.623,-0.849,362381396.0
,Mr. Mint,MNT,$0.5405,,,0.8,4.583,0.427,362044587.0
49,Optimism,OP,$1.75,"$2,199,608,933",7527265200.0,3.5,1.646,-0.983,357585697.0
56,Celestia,TIA,$4.77,"$1,911,638,028",5182212538.0,3.5,-19.171,-3.36,356558744.0
104,ApeCoin,APE,$1.09,"$785,439,120",1088696871.0,1.9,-10.568,-0.953,353484217.0
25,NEAR Protocol,NEAR,$4.32,"$5,265,200,543",5267992261.0,2.8,-5.626,-0.78,350511533.0
201,SafePal,SFP,$0.7123,"$356,258,305",,0.4,-0.292,-0.908,347351847.0
,Binary Holdings,BNRY,$0.03474,,,2.4,42.302,0.877,347335498.0
202,Reserve Rights,RSR,$0.00655,"$655,005,604",,0.7,-2.587,-1.047,343054331.0
,SparkLucky,SLC,$0.03837,,,0.0,22.915,-0.033,341079265.0
204,Metaplex,MPLX,$0.4459,"$446,643,769",,11.8,1.935,-1.393,337577745.0
208,Virtuals Protocol,VIRTUAL,$0.3357,"$332,549,871",,15.3,79.239,1.809,332549871.0
207,1inch,1INCH,$0.2601,"$390,604,214",,1.1,-1.77,-0.746,332288788.0
,Excelon,XLON,$0.2271,,,0.2,0.735,-0.815,330296200.0
,CryptoBoomCoin Official,CBC,$0.0003697,,,0.9,0.851,0.055,328601822.0
,Bitpanda Ecosystem,BEST,$0.4528,,,0.4,-6.403,-1.024,327423058.0
213,CHEX Token,CHEX,$0.3209,"$321,842,098",,6.7,28.636,-1.317,321842098.0
,Axiome,AXM,$0.1063,,,5.0,-1.852,-1.406,318840144.0
,Safe Road Club,SRC,$0.3184,,,0.3,-7.067,-0.693,318404811.0
215,Curve DAO,CRV,$0.2616,"$573,564,341",,4.1,3.692,-0.306,318341818.0
,Dongdaemun Token,DDMT,$0.3174,,,7.5,-31.801,-0.209,317267922.0
216,WEMIX,WEMIX,$0.7692,"$409,181,590",,1.3,-0.51,-0.569,317216025.0
218,Golem,GLM,$0.3152,"$315,273,040",,0.8,-3.126,-1.246,315273040.0
219,Dogs,DOGS,$0.000606,"$335,078,626",,3.4,-13.945,-1.414,314821600.0
,PCO Metaverse,PME,$0.009689,,,6.6,-8.729,-0.972,314620269.0
220,ZetaChain,ZETA,$0.6794,"$1,427,676,213",,5.7,-6.646,-2.267,312452888.0
99,Coinbase Wrapped BTC,CBBTC,"$71,874.35","$832,887,726",832887726.0,0.2,8.221,-0.482,312206555.0
221,Binance-Peg Dogecoin,DOGE,$0.1669,"$311,066,903",,0.6,19.383,-1.632,311066903.0
,BOOM,BOOM,$0.3089,,,0.1,0.227,0.015,308883433.0
,Doric Network,DRC,$0.5145,,,3.3,-8.263,-0.764,308682627.0
,Tour Billion Coin,TBC,$0.306,,,8.7,-8.149,-1.82,306109426.0
223,Amp,AMP,$0.00378,"$376,469,904",,1.2,-1.565,-1.127,304904809.0
222,Osmosis,OSMO,$0.4412,"$439,735,029",,1.7,-13.096,-1.311,304525911.0
226,Holo,HOT,$0.001681,"$299,011,191",,0.8,1.494,-1.007,299011191.0
32,Artificial Superintelligence Alliance,FET,$1.29,"$3,390,094,771",3532370275.0,2.4,-1.939,-0.848,298353558.0
228,Aevo,AEVO,$0.3354,"$336,009,376",,0.9,-7.587,-1.123,296435579.0
229,Moonwell,WELL,$0.1007,"$503,982,125",,0.1,64.403,-2.842,293665319.0
230,JUST,JST,$0.02955,"$291,585,005",,0.8,1.684,-0.28,291585005.0
16,Wrapped Bitcoin,WBTC,"$71,755.03","$10,550,607,842",10550607842.0,0.1,8.325,-0.233,291456881.0
,NuCypher,NU,$0.07481,,,0.6,-0.596,-0.963,290664378.0
,PAYNET,PAYN,$0.5183,,,0.2,0.363,-0.329,290028338.0
234,HarryPotterObamaSonic10Inu (ETH),BITCOIN,$0.2872,"$286,321,491",,11.3,12.743,1.582,286321491.0
236,Zilliqa,ZIL,$0.01477,"$292,243,695",,2.4,0.6,-0.836,282112746.0
239,0x Protocol,ZRX,$0.3302,"$330,868,893",,0.6,-3.011,-0.829,280708031.0
,Famous Fox Federation,FOXY,$0.004052,,,2.8,-10.927,0.502,280617265.0
238,Apu Apustaja,APU,$0.0008587,"$290,471,720",,7.6,-11.95,0.479,280155825.0
27,Uniswap,UNI,$8.10,"$4,874,532,322",8120130107.0,3.9,4.916,0.155,278473693.0
241,Fwog,FWOG,$0.2815,"$275,538,747",,13.7,27.66,-4.132,275538747.0
,DAO Invest,VEST,$0.002755,,,,,,275522539.0
243,Siacoin,SC,$0.00474,"$273,758,109",,0.3,-1.707,-0.805,273618252.0
,Quick Transfer Coin Plus,QTCC,$0.0006753,,,0.4,0.292,0.166,270124631.0
,Value,VALU,$0.002692,,,2.1,-3.386,0.198,269141316.0
246,Manta Network,MANTA,$0.6917,"$695,130,278",,4.0,-4.149,-1.46,266553816.0
,AI Meta Club,AMC,$0.2654,,,7.8,1.106,-0.099,266437788.0
247,Ravencoin,RVN,$0.01816,"$382,145,977",,1.7,7.68,-0.664,262839029.0
248,aelf,ELF,$0.3608,"$357,533,320",,0.2,-1.428,-0.728,261630624.0
249,Enjin Coin,ENJ,$0.148,"$273,188,622",,0.2,-5.039,-1.408,261407687.0
250,CoinEx,CET,$0.09393,"$261,218,002",,0.8,-5.3,-0.502,261218002.0
252,Polymesh,POLYX,$0.2345,"$259,231,390",,0.1,-2.821,-1.524,259231390.0
254,Ankr Network,ANKR,$0.02559,"$256,057,409",,0.2,-3.377,-1.209,256057409.0
256,Basic Attention,BAT,$0.1694,"$254,000,173",,0.1,-0.39,-0.844,253264988.0
261,CorgiAI,CORGIAI,$0.0007323,"$271,403,924",,0.2,-0.771,-0.067,250296338.0
,Pika Protocol,PIKA,$0.248,,,4.7,8.422,3.776,247344649.0
,Rosa Inu,ROSA,$0.002482,,,2.9,29.164,-0.823,246702384.0
45,Aave,AAVE,$156.46,"$2,344,561,260",2506929819.0,3.9,5.499,-0.35,246089220.0
262,Non-Playable Coin,NPC,$0.03037,"$244,483,484",,2.7,-2.892,-2.036,244483484.0
264,Osaka Protocol,OSAK,"$433,894","$243,228,925",,4.6,-4.868,-3.513,243228925.0
266,PONKE,PONKE,$0.4412,"$245,643,851",,1.5,1.63,3.692,240569715.0
267,Terra,LUNA,$0.3477,"$376,079,784",,0.3,-4.755,-1.082,239787376.0
270,AltLayer,ALT,$0.1022,"$1,022,262,619",,2.3,-4.75,-0.985,236185259.0
272,Moo Deng,MOODENG,$0.2339,"$232,652,460",,6.1,217.388,-2.795,232652460.0
274,Mantle Bridged USDT (Mantle),USDT,$0.9969,"$230,088,761",,0.4,-0.192,-0.152,230088761.0
275,Threshold Network,T,$0.0228,"$252,387,667",,0.2,-0.77,-1.128,227866174.0
276,Grass,GRASS,$0.9155,"$931,686,645",,10.4,,6.354,227243116.0
,ioTube Bridged GEOD (IoTeX),GEOD,$0.226,,,2.1,2.921,-1.917,226016990.0
278,Gravity,G,$0.03107,"$372,917,710",,2.4,-1.638,-1.041,224766827.0
,CopXToken,COPX,$0.2245,,,0.3,-19.427,-0.537,224464040.0
279,Avail,AVAIL,$0.1224,"$1,244,098,255",,1.2,-4.557,-1.206,224284807.0
281,Simon's Cat,CAT,$0.0000329,"$266,993,634",,1.2,-21.814,-1.93,222494448.0
282,OriginTrail,TRAC,$0.5473,"$273,564,789",,1.0,21.622,0.012,222182664.0
280,Delysium,AGI,$0.1813,"$548,398,598",,3.9,6.954,-1.124,221237382.0
,TERATTO,TRCON,$0.04406,,,14.5,13.666,-0.066,220194993.0
112,ORDI,ORDI,$35.32,"$741,645,154",741645154.0,0.4,2.546,-2.492,214862542.0
286,SingularityNET,AGIX,$0.5645,"$292,210,744",,1.0,0.575,-1.597,214404563.0
149,Eigenlayer,EIGEN,$2.99,"$560,127,683",5066877564.0,6.8,-13.441,-4.66,212881735.0
,Wrapped BNB,WBNB,$597.85,"$800,966,392",,1.9,2.278,-0.178,210019316.0
,X-GAME,XG,$0.2097,,,0.3,-1.955,0.613,209251416.0
48,Filecoin,FIL,$3.72,"$2,219,097,457",7310932056.0,2.1,0.393,-0.846,208440976.0
137,Ethereum Name Service,ENS,$18.34,"$609,391,242",1837420450.0,5.8,5.424,-2.277,207652153.0
293,Aethir,ATH,$0.04982,"$2,100,031,348",,1.4,-1.076,-0.922,202838705.0
292,PAAL AI,PAAL,$0.2359,"$235,812,522",,9.1,25.943,-0.548,202798746.0
28,Wrapped eETH,WEETH,"$2,832.10","$4,843,963,244",4843963244.0,2.3,5.22,-0.617,202250379.0
20,Polkadot,DOT,$4.16,"$5,953,333,723",6290075627.0,0.3,-0.944,-0.51,201150011.0
,Monorix,MRX,$0.00201,,,,,,200960817.0
,ZAIHO,ZAI,$0.2005,,,0.1,0.432,0.135,200691348.0
295,Big Time,BIGTIME,$0.171,"$854,975,616",,7.0,0.401,-1.473,199878619.0
298,Tribe,TRIBE,$0.435,"$435,035,954",,1.9,-2.858,-0.29,197948116.0
299,Yield Guild Games,YGG,$0.509,"$508,961,798",,4.0,-1.45,-0.852,195636123.0
